SENT	1927E-ZARETSKI-SHOLEM,5.3
1	koydemkol	ADV	קודם-כּל	kvdM-Kl	_
25-26	afn	P~D	אַפֿן	AafN	_
25	af	P	אַף	AaF	_
26	n	D	נ	n	_
27	dritn	ADJ	דריטן	drytN	_
28	-	PUNC	-	-	_
29	der	D	דער	der	_
30	subyekt	N	סוביעקט	svbyekt	_
31	"	PUNC	"	"	_
32	ikh	PRO	איך	AyX	_
33	"	PUNC	"	"	_
34	u.a.v.	X	או.אַ.װ.	Av.Aa.V.	_

SENT	1927E-ZARETSKI-SHOLEM,6.13
1	s'	ES	ס'	s'	_
2	makhn	VBF	מאַכן	mAaxN	_
3	zikh	PRO	זיך	zyX	_
4	sofek-faln	N	ספֿק-פֿאַלן	sfk-fAalN	_
5-6	bam	P~D	באַם	bAaM	_
5	ba	P	באַ	bAa	_
6	m	D	מ	m	_
7	beshtimen	VB	בעשטימען	be$tymeN	_
8	dos	D	דאָס	dAos	_
9	ort	N	אָרט	Aort	_
10	fun	P	פֿון	fvN	_
11	vort	N	װאָרט	VAort	_
12	in	P	אין	AyN	_
13	zats	N	זאַץ	zAaQ	_
14	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,6.14
1	ikh	PRO	איך	AyX	_
2	ken	MDF	קען	keN	_
3	zikh	PRO	זיך	zyX	_
4	do	ADV	דאָ	dAo	_
5	op	P	אָפּ	Aop	_
6	zey	PRO	זײ	zY	_
7	nit	NEG	ניט	nyt	_
8-9	opshteln	RP~VB	אָפּשטעלן	Aop$telN	_
8	op	RP	אָפּ	Aop	_
9	shteln	VB	שטעלן	$telN	_
10	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,6.15
1	derlernen	VB	דערלערנען	derlerneN	_
2	dos	D	דאָס	dAos	_
3	ort	N	אָרט	Aort	_
4	fun	P	פֿון	fvN	_
5	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
6	in	P	אין	AyN	_
7	yidishn	ADJ	ייִדישן	yyidy$N	_
8	zats	N	זאַץ	zAaQ	_
9	heyst	VBF	הײסט	hYst	_
10	-	PUNC	-	-	_
11-12	oysgefinen	RP~VB	אױסגעפֿינען	AWsgefyneN	_
11	oys	RP	אױס	AWs	_
12	gefinen	VB	געפֿינען	gefyneN	_
13	,	PUNC	,	,	_
14	vosere	WD	װאָסערע	VAosere	_
15	gezetsn	N	געזעצן	gezeqN	_
16	giltn	VBF	גילטן	gyltN	_
17	do	ADV	דאָ	dAo	_
18	,	PUNC	,	,	_
19	dehaine	ADV	דעהאַיִנע	dehAayine	_
20	,	PUNC	,	,	_
21	op	P	אָפּ	Aop	_
22	voser	WD	װאָסער	VAoser	_
23	ort	N	אָרט	Aort	_
24	kumt	VBF	קומט	kvmt	_
25	dos	D	דאָס	dAos	_
26	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
27-28	tsum	P~D	צום	qvM	_
27	tsu	P	צו	qv	_
28	m	D	מ	m	_
29	oftstn	ADJS	אָפֿצטן	AofqtN	_
30	,	PUNC	,	,	_
31	in	P	אין	AyN	_
32	vosere	WD	װאָסערע	VAosere	_
33	faln	N	פֿאַלן	fAalN	_
34	kumt	VBF	קומט	kvmt	_
35	dos	D	דאָס	dAos	_
36	far	RP	פֿאַר	fAar	_
37	anders	ADV	אַנדערס	Aanders	_
38	,	PUNC	,	,	_
39	eyder	P	אײדער	AYder	_
40	in	P	אין	AyN	_
41	dem	D	דעם	deM	_
42	oftstn	ADJS	אָפֿצטן	AofqtN	_
43	verterseyder	N	װערטערסײדער	VertersYder	_
44	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,6.16
1	dos	D	דאָס	dAos	_
2	iz	VBF	איז	Ayz	_
3	nisht	NEG	נישט	ny$t	_
4	bloyz	ADV	בלױז	blWz	_
5	keyn	Q	קײן	kYN	_
6	teoretisher	ADJ	טעאָרעטישער	teAorety$er	_
7	interes	N	אינטערעס	Aynteres	_
8	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,6.17
1	di	D	די	dy	_
2	shprakh	N	שפּראַך	$prAaX	_
3	iz	VBF	איז	Ayz	_
4	ba	P	באַ	bAa	_
5	unz	PRO	אונז	Avnz	_
6	in	P	אין	AyN	_
7	di	D	די	dy	_
8	hent	N	הענט	hent	_
9	:	PUNC	:	:	_

SENT	1927E-ZARETSKI-SHOLEM,6.18
1	m'	PRO	מ'	m'	_
2	kan	MDF	ק"ן	k"N	_
3	dos	D	דאָס	dAos	_
4	makhn	VB	מאַכן	mAaxN	_
5	beser	ADVR	בעסער	beser	_
6	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,7.20
1	m'	PRO	מ'	m'	_
2	kan	MDF	ק"ן	k"N	_
3	dos	D	דאָס	dAos	_
4	makhn	VB	מאַכן	mAaxN	_
5	erger	ADVR	ערגער	erger	_
6	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.21
1	beyshpiln	N	בײשפּילן	bY$pylN	_
2	vern	RDF	װערן	VerN	_
3	in	P	אין	AyN	_
4	dem	D	דעם	deM	_
5	shurnal	N	שורנאַל	$vrnAal	_
6	gebrakht	VAN	געבראַכט	gebrAaxt	_
7	vern	RD	װערן	VerN	_
8	genug	Q	גענוג	genvg	_
9	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,7.22
1	s'	ES	ס'	s'	_
2	gevendt	VBF	געװענדט	geVendt	_
3	on	P	אָן	AoN	_
4	unz	PRO	אונז	Avnz	_
5	nit	NEG	ניט	nyt	_
6	tsu	TO	צו	qv	_
7	fardarbn	VB	פֿאַרדאַרבן	fAardAarbN	_
8	di	D	די	dy	_
9	shprakh	N	שפּראַך	$prAaX	_
10	;	PUNC	;	;	_

SENT	1927E-ZARETSKI-SHOLEM,7.23
1	memeyle	ADV	מעמײלע	memYle	_
2	hot	VBF	האָט	hAot	_
3	aza	ADJ	אַזאַ	AazAa	_
4	shtudies	N	שטודיִעס	$tvdyies	_
5	a	D	אַ	Aa	_
6	praktishn	ADJ	פּראַקטישן	prAakty$N	_
7	vert	N	װערט	Vert	_
8	oykh	ADV	אױך	AWX	_
9	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.24
1	vi_azoy	WADV	װי_אַזױ	Vy_AazW	_
2	aber	ADV	אַבער	Aaber	_
3	derlernt	VBF	דערלערנט	derlernt	_
4	men	PRO	מען	meN	_
5	dos	D	דאָס	dAos	_
6	?	PUNC	?	?	_

SENT	1927E-ZARETSKI-SHOLEM,7.25
1	dos	D	דאָס	dAos	_
2	beste	N	בעסטע	beste	_
3	iz	VBF	איז	Ayz	_
4-5	oysshtudirn	RP~VB	אױסשטודירן	AWs$tvdyrN	_
4	oys	RP	אױס	AWs	_
5	shtudirn	VB	שטודירן	$tvdyrN	_
6	sistematish	ADV	סיסטעמאַטיש	systemAaty$	_
7	,	PUNC	,	,	_
8-9	bizn	P~D	ביזן	byzN	_
8	biz	P	ביז	byz	_
9	n	D	נ	n	_
10	sof	N	סוף	svF	_
11	a	D	אַ	Aa	_
12	tsal	N	צאַל	qAal	_
13	faktishe	ADJ	פֿאַקטישע	fAakty$e	_
14	reyd	N	רײד	rYd	_
15	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.26
1	un	CONJ	און	AvN	_
2	azoy	ADV	אַזױ	AazW	_
3	vi	WADV	װי	Vy	_
4	shtudirn	VB	שטודירן	$tvdyrN	_
5	di	D	די	dy	_
6	lebedike	ADJ	לעבעדיקע	lebedyke	_
7	reyd	N	רײד	rYd	_
8	iz	VBF	איז	Ayz	_
9	tekhnish	ADV	טעכניש	texny$	_
10	umbakvem	ADJ	אומבאַקװעם	AvmbAakVeM	_
11	me	PRO	מע	me	_
12	volt	VLF	װאָלט	VAolt	_
13	gedarft	MDN	געדאַרפֿט	gedAarft	_
14-15	tsuhern	RP~VB	צוהערן	qvherN	_
14	tsu	RP	צו	qv	_
15	hern	VB	הערן	herN	_
16	un	CONJ	און	AvN	_
17	farshreybn	VB	פֿאַרשרײבן	fAar$rYbN	_
18	keseyder	ADV	כּסדר	Ksdr	_
19	altsding	Q	אַלצדינג	Aalqdyng	_
20	,	PUNC	,	,	_
21	vos	C	װאָס	VAos	_
22	me	PRO	מע	me	_
23	redt	VBF	רעדט	redt	_
24	arum	ADV	אַרום	AarvM	_
25	,	PUNC	,	,	_
26	muz	MDF	מוז	mvz	_
27	men	PRO	מען	meN	_
28-29	onkumen	RP~VB	אָנקומען	AonkvmeN	_
28	on	RP	אָן	AoN	_
29	kumen	VB	קומען	kvmeN	_
30	tsu	P	צו	qv	_
31	der	D	דער	der	_
32	literarisher	ADJ	ליטעראַרישער	lyterAary$er	_
33	shprakh	N	שפּראַך	$prAaX	_
34	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.27
1	me	PRO	מע	me	_
2	darf	MDF	דאַרף	dAarF	_
3	nemen	VB	נעמען	nemeN	_
4	a	D	אַ	Aa	_
5	prozaishn	ADJ	פּראָזאַיִשן	prAozAayi$N	_
6	shreyber	N	שרײבער	$rYber	_
7	,	PUNC	,	,	_
8	fn._1	REF	פֿן._1	fN._1	_
9	oder	CONJ	אָדער	Aoder	_
10	lekholapones	H	לעכאָלאַפּאָנעס	lexAolAapAones	UNKNOWN
11	a	D	אַ	Aa	_
12	verk	N	װערק	Verk	_
13	zayns	PRO$	זײַנס	zYans	_
14	,	PUNC	,	,	_
15-16	oyskleybn	RP~VB	אױסקלײבן	AWsklYbN	_
15	oys	RP	אױס	AWs	_
16	kleybn	VB	קלײבן	klYbN	_
17	fun	P	פֿון	fvN	_
18	dortn	ADV	דאָרטן	dAortN	_
19	ale	Q	אַלע	Aale	_
20	perzonverter	N	פּערזאָנװערטער	perzAonVerter	_
21	,	PUNC	,	,	_
22-23	ibertseyln	RP~VB	איבערצײלן	AyberqYlN	_
22	iber	RP	איבער	Ayber	_
23	tseyln	VB	צײלן	qYlN	_
24	,	PUNC	,	,	_
25-26	vifl	WADV~Q	װיפֿל	Vyfl	_
25	vi	WADV	װי	Vy	_
26	fl	Q	פֿל	fl	_
27	fun	P	פֿון	fvN	_
28	zey	PRO	זײ	zY	_
29	op	P	אָפּ	Aop	_
30	velkhn	WD	װעלכן	VelxN	_
31	ort	N	אָרט	Aort	_
32	es	ES	עס	es	_
33	shteyen	VBF	שטײען	$tYeN	_
34	,	PUNC	,	,	_
35	un	CONJ	און	AvN	_
36-37	upzukhn	RP~VB	אופּזוכן	AvpzvxN	_
36	up	RP	אופּ	Avp	_
37	zukhn	VB	זוכן	zvxN	_
38	,	PUNC	,	,	_
39	mit	P	מיט	myt	_
40	vasere	WD	װאַסערע	VAasere	_
41	umshtandn	N	אומשטאַנדן	Avm$tAandN	_
42	in	P	אין	AyN	_
43	zatsboy	N	זאַצבױ	zAaqbW	_
44	s'	ES	ס'	s'	_
45	iz	BEF	איז	Ayz	_
46	farbundn	VAN	פֿאַרבונדן	fAarbvndN	_
47	dos	D	דאָס	dAos	_
48	oder	CONJ	אָדער	Aoder	_
49	yents	D	יענץ	yenQ	_
50	ort	N	אָרט	Aort	_
51	fun	P	פֿון	fvN	_
52	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
53	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.28
1	ikh	PRO	איך	AyX	_
2	hob	HVF	האָב	hAob	_
3-4	opgetun	RP~VBN	אָפּגעטון	AopgetvN	_
3	op	RP	אָפּ	Aop	_
4	getun	VBN	געטון	getvN	_
5	aza	ADJ	אַזאַ	AazAa	_
6	min	N	מין	myN	_
7	arbet	N	אַרבעט	Aarbet	_
8	mit	P	מיט	myt	_
9	azoyne	ADJ	אַזױנע	AazWne	_
10	sholem-aleykhems	NPR$	שלום-אַלײכעמס	$lvM-AalYxems	_
11	verk	N	װערק	Verk	_
12	:	PUNC	:	:	_

SENT	1927E-ZARETSKI-SHOLEM,7.29
1	"	PUNC	"	"	_
2	dos	D	דאָס	dAos	_
3	meserl	N	מעסערל	meserl	_
4	"	PUNC	"	"	_
5	-	PUNC	-	-	_
6	785	NUM	785	785	_
7	perzonverter	N	פּערזאָנװערטער	perzAonVerter	_
8	,	PUNC	,	,	_
9	"	PUNC	"	"	_
10-11	bam	P~D	באַם	bAaM	_
10	ba	P	באַ	bAa	_
11	m	D	מ	m	_
12	dokter	N	דאָקטער	dAokter	_
13	"	PUNC	"	"	_
14	-	PUNC	-	-	_
15	414	NUM	414	414	_
16	,	PUNC	,	,	_
17	"	PUNC	"	"	_
18	mesushelakh	N	מעסושעלאַך	mesv$elAaX	_
19	"	PUNC	"	"	_
20	-	PUNC	-	-	_
21	380	NUM	380	380	_
22	,	PUNC	,	,	_
23	"	PUNC	"	"	_
24	der	D	דער	der	_
25	zeyger	N	זײגער	zYger	_
26	"	PUNC	"	"	_
27	-	PUNC	-	-	_
28	377	NUM	377	377	_
29	,	PUNC	,	,	_
30	"	PUNC	"	"	_
31	drey	NUM	דרײ	drY	_
32	keplekh	N	קעפּלעך	kepleX	_
33	"	PUNC	"	"	_
34	-	PUNC	-	-	_
35	270	NUM	270	270	_
36	,	PUNC	,	,	_
37	"	PUNC	"	"	_
38	tsarbalekhaim	N	צאַרבאַלעכאַיִם	qAarbAalexAayiM	_
39	"	PUNC	"	"	_
40	-	PUNC	-	-	_
41	211	NUM	211	211	_
42	.	PUNC	.	.	_
43	tsuzamen	ADV	צוזאַמען	qvzAameN	_
44	2437	NUM	2437	2437	_
45	perzonverter	N	פּערזאָנװערטער	perzAonVerter	_
46	.	PUNC	.	.	_
47	fn._2	REF	פֿן._2	fN._2	_

SENT	1927E-ZARETSKI-SHOLEM,7.30
1	ikh	PRO	איך	AyX	_
2	hob	HVF	האָב	hAob	_
3	shtudirt	VBN	שטודירט	$tvdyrt	_
4	dos	D	דאָס	dAos	_
5	ort	N	אָרט	Aort	_
6	fun	P	פֿון	fvN	_
7	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
8	in	P	אין	AyN	_
9	hoyptzats	N	הױפּטזאַץ	hWptzAaQ	_
10	bazunder	ADV	באַזונדער	bAazvnder	_
11	un	CONJ	און	AvN	_
12	in	P	אין	AyN	_
13	beyzats	N	בײזאַץ	bYzAaQ	_
14	bazunder	ADV	באַזונדער	bAazvnder	_
15	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.31
1	ikh	PRO	איך	AyX	_
2	vil	MDF	װיל	Vyl	_
3	do	ADV	דאָ	dAo	_
4	veyzn	VB	װײזן	VYzN	_
5	frier	ADVR	פֿריִער	fryier	_
6	etlekhe	Q	עטלעכע	etlexe	_
7	beyshpiln	N	בײשפּילן	bY$pylN	_
8	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,7.32
1	dernokh	DR+P	דערנאָך	dernAoX	_
2	kum	VBF	קום	kvM	_
3	ikh	PRO	איך	AyX	_
4	tsu	P	צו	qv	_
5	di	D	די	dy	_
6	statistishe	ADJ	סטאַטיסטישע	stAatysty$e	_
7	tsifer	N	ציפֿער	qyfer	_
8	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.33
1	ikh	PRO	איך	AyX	_
2	hob	HVF	האָב	hAob	_
3	aber	ADV	אַבער	Aaber	_
4	gikh	ADV	גיך	gyX	_
5	bakumen	VBN	באַקומען	bAakvmeN	_
6	an	D	אַן	AaN	_
7	ander	ADJ	אַנדער	Aander	_
8	meserl	N	מעסערל	meserl	_
9	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.34
1	dos	D	דאָס	dAos	_
2	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
3	iz	VBF	איז	Ayz	_
4	do	ADV	דאָ	dAo	_
5-6	afn	P~D	אַפֿן	AafN	_
5	af	P	אַף	AaF	_
6	n	D	נ	n	_
7	tsveytn	ADJ	צװײטן	qVYtN	_
8	ort	N	אָרט	Aort	_
9	;	PUNC	;	;	_

SENT	1927E-ZARETSKI-SHOLEM,7.35
1-2	afn	P~D	אַפֿן	AafN	_
1	af	P	אַף	AaF	_
2	n	D	נ	n	_
3	erstn	N	ערסטן	erstN	_
4	iz	VBF	איז	Ayz	_
5	der	D	דער	der	_
6	subyekt	N	סוביעקט	svbyekt	_
7	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.36
1	dos	D	דאָס	dAos	_
2	erste	ADJ	ערסטע	erste	_
3	mal	N	מל	ml	_
4	,	PUNC	,	,	_
5	fun	P	פֿון	fvN	_
6	zint	C	זינט	zynt	_
7	dos	D	דאָס	dAos	_
8	meserl	N	מעסערל	meserl	_
9	iz	VBF	איז	Ayz	_
10	meyns	PRO$	מײנס	mYns	_
11	,	PUNC	,	,	_
12	kumt	VBF	קומט	kvmt	_
13	mir	PRO	מיר	myr	_
14	dosdozike	D	דאָסדאָזיקע	dAosdAozyke	_
15	shreklekhe	ADJ	שרעקלעכע	$reklexe	_
16	vort	N	װאָרט	VAort	_
17	af	P	אַף	AaF	_
18	di	D	די	dy	_
19	gedanken	N	געדאַנקען	gedAankeN	_
20	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.37
1	do	ADV	דאָ	dAo	_
2	iz	VBF	איז	Ayz	_
3	faran	ADJ	פֿאַראַן	fAarAaN	_
4	tsvey	NUM	צװײ	qVY	_
5	perzonverter	N	פּערזאָנװערטער	perzAonVerter	_
6	"	PUNC	"	"	_
7	iz	VBF	איז	Ayz	_
8	"	PUNC	"	"	_
9	un	CONJ	און	AvN	_
10	"	PUNC	"	"	_
11	kumt	VBF	קומט	kvmt	_
12	"	PUNC	"	"	_
13	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.38
1	ober	CONJ	אָבער	Aober	_
2	"	PUNC	"	"	_
3	iz	VBF	איז	Ayz	_
4	"	PUNC	"	"	_
5	gefint	VBF	געפֿינט	gefynt	_
6	zikh	PRO	זיך	zyX	_
7	in	P	אין	AyN	_
8	a	D	אַ	Aa	_
9	beyzats	N	בײזאַץ	bYzAaQ	_
10	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,7.39
1	interesirt	VBF	אינטערעסירט	Aynteresyrt	_
2	es	PRO	עס	es	_
3	unz	PRO	אונז	Avnz	_
4	itst	ADV	איצט	Ayqt	_
5	nit	NEG	ניט	nyt	_
6	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.40
1	dos	D	דאָס	dAos	_
2	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
3	"	PUNC	"	"	_
4	kumt	VBF	קומט	kvmt	_
5	"	PUNC	"	"	_
6	shteyt	VBF	שטײט	$tYt	_
7-8	afn	P~D	אַפֿן	AafN	_
7	af	P	אַף	AaF	_
8	n	D	נ	n	_
9	tsveytn	ADJ	צװײטן	qVYtN	_
10	ort	N	אָרט	Aort	_
11	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.41
1	dos	D	דאָס	dAos	_
2	alts	Q	אַלץ	AalQ	_
3	,	PUNC	,	,	_
4	vos	C	װאָס	VAos	_
5	far	P	פֿאַר	fAar	_
6	"	PUNC	"	"	_
7	kumt	VBF	קומט	kvmt	_
8	"	PUNC	"	"	_
9	,	PUNC	,	,	_
10	iz	VBF	איז	Ayz	_
11	eyn	D	אײן	AYN	_
12	"	PUNC	"	"	_
13	grupe	N	גרופּע	grvpe	_
14	"	PUNC	"	"	_
15	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,7.42
1	farnemt	VBF	פֿאַרנעמט	fAarnemt	_
2	eyn	D	אײן	AYN	_
3	"	PUNC	"	"	_
4	ort	N	אָרט	Aort	_
5	"	PUNC	"	"	_
6	,	PUNC	,	,	_
7	khotsh	C	כאָטש	xAot$	_
8	do	ADV	דאָ	dAo	_
9	kumt	VBF	קומט	kvmt	_
10	areyn	ADV	אַרײן	AarYN	_
11	a	D	אַ	Aa	_
12	gantser	ADJ	גאַנצער	gAanqer	_
13	bayzats	N	בײַזאַץ	bYazAaQ	_
14	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.43
1	az	C	אַז	Aaz	_
2	du	PRO	דו	dv	_
3	bist	BEF	ביסט	byst	_
4	gekumen	VBN	געקומען	gekvmeN	_
5-6	tsugeyn	TO~VB	צוגײן	qvgYN	_
5	tsu	TO	צו	qv	_
6	geyn	VB	גײן	gYN	_
7	fun	P	פֿון	fvN	_
8	kheyder	N	חדר	Hdr	_
9	,	PUNC	,	,	_
10-11	bistu	BEF~PRO	ביסטו	bystv	_
10	bis	BEF	ביס	bys	_
11	tu	PRO	טו	tv	_
12	shoyn	ADV	שױן	$WN	_
13	geven	VBN	געװען	geVeN	_
14	a	D	אַ	Aa	_
15	toyter	N	טױטער	tWter	_
16	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,7.44
1	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
